imdb_id,title,original_title,year,runtime_minutes,genres,average_rating,num_votes,imdb_url
tt0111161,The Shawshank Redemption,The Shawshank Redemption,1994,142.0,Drama,9.3,3182733,https://www.imdb.com/title/tt0111161
tt0109830,Forrest Gump,Forrest Gump,1994,142.0,Drama,8.8,2492584,https://www.imdb.com/title/tt0109830
tt1853728,Django Unchained,Django Unchained,2012,165.0,Drama,8.5,1879878,https://www.imdb.com/title/tt1853728
tt1130884,Shutter Island,Shutter Island,2010,138.0,Drama,8.2,1643391,https://www.imdb.com/title/tt1130884
tt0120815,Saving Private Ryan,Saving Private Ryan,1998,169.0,Drama,8.6,1636156,https://www.imdb.com/title/tt0120815
tt0482571,The Prestige,The Prestige,2006,130.0,Drama,8.5,1584861,https://www.imdb.com/title/tt0482571
tt0209144,Memento,Memento,2000,113.0,Drama,8.4,1433446,https://www.imdb.com/title/tt0209144
tt0120338,Titanic,Titanic,1997,194.0,Drama,8.0,1390424,https://www.imdb.com/title/tt0120338
tt0169547,American Beauty,American Beauty,1999,122.0,Drama,8.3,1278772,https://www.imdb.com/title/tt0169547
tt0081505,The Shining,The Shining,1980,146.0,Drama,8.4,1223724,https://www.imdb.com/title/tt0081505
tt0119217,Good Will Hunting,Good Will Hunting,1997,126.0,Drama,8.4,1214497,https://www.imdb.com/title/tt0119217
tt0338013,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004,108.0,Drama,8.3,1181398,https://www.imdb.com/title/tt0338013
tt2267998,Gone Girl,Gone Girl,2014,149.0,Drama,8.1,1166995,https://www.imdb.com/title/tt2267998
tt6751668,Parasite,Gisaengchung,2019,132.0,Drama,8.5,1160356,https://www.imdb.com/title/tt6751668
tt2582802,Whiplash,Whiplash,2014,106.0,Drama,8.5,1151867,https://www.imdb.com/title/tt2582802
tt0167404,The Sixth Sense,The Sixth Sense,1999,107.0,Drama,8.2,1142932,https://www.imdb.com/title/tt0167404
tt0180093,Requiem for a Dream,Requiem for a Dream,2000,102.0,Drama,8.3,972313,https://www.imdb.com/title/tt0180093
tt0246578,Donnie Darko,Donnie Darko,2001,113.0,Drama,8.0,911053,https://www.imdb.com/title/tt0246578
tt1454468,Gravity,Gravity,2013,91.0,Drama,7.7,899373,https://www.imdb.com/title/tt1454468
tt0947798,Black Swan,Black Swan,2010,108.0,Drama,8.0,888168,https://www.imdb.com/title/tt0947798
tt0480249,I Am Legend,I Am Legend,2007,101.0,Drama,7.2,876084,https://www.imdb.com/title/tt0480249
tt2543164,Arrival,Arrival,2016,116.0,Drama,7.9,861917,https://www.imdb.com/title/tt2543164
tt1205489,Gran Torino,Gran Torino,2008,116.0,Drama,8.1,861216,https://www.imdb.com/title/tt1205489
tt0093058,Full Metal Jacket,Full Metal Jacket,1987,116.0,Drama,8.2,850283,https://www.imdb.com/title/tt0093058
tt0405159,Million Dollar Baby,Million Dollar Baby,2004,132.0,Drama,8.1,765383,https://www.imdb.com/title/tt0405159
tt0457430,Pan's Labyrinth,El laberinto del fauno,2006,118.0,Drama,8.2,746090,https://www.imdb.com/title/tt0457430
tt0421715,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,2008,166.0,Drama,7.8,744491,https://www.imdb.com/title/tt0421715
tt1798709,Her,Her,2013,126.0,Drama,8.0,725951,https://www.imdb.com/title/tt1798709
tt0469494,There Will Be Blood,There Will Be Blood,2007,158.0,Drama,8.2,707275,https://www.imdb.com/title/tt0469494
tt0332280,The Notebook,The Notebook,2004,123.0,Drama,7.8,687802,https://www.imdb.com/title/tt0332280
tt6644200,A Quiet Place,A Quiet Place,2018,90.0,Drama,7.5,657368,https://www.imdb.com/title/tt6644200
tt1343092,The Great Gatsby,The Great Gatsby,2013,143.0,Drama,7.2,642176,https://www.imdb.com/title/tt1343092
tt0470752,Ex Machina,Ex Machina,2014,108.0,Drama,7.7,638522,https://www.imdb.com/title/tt0470752
tt1659337,The Perks of Being a Wallflower,The Perks of Being a Wallflower,2012,103.0,Drama,7.9,595204,https://www.imdb.com/title/tt1659337
tt0095953,Rain Man,Rain Man,1988,133.0,Drama,8.0,585112,https://www.imdb.com/title/tt0095953
tt10811166,The Kashmir Files,The Kashmir Files,2022,170.0,Drama,8.5,578850,https://www.imdb.com/title/tt10811166
tt0206634,Children of Men,Children of Men,2006,109.0,Drama,7.9,565436,https://www.imdb.com/title/tt0206634
tt0099487,Edward Scissorhands,Edward Scissorhands,1990,105.0,Drama,7.8,564568,https://www.imdb.com/title/tt0099487
tt0289879,The Butterfly Effect,The Butterfly Effect,2004,113.0,Drama,7.6,555641,https://www.imdb.com/title/tt0289879
tt0289043,28 Days Later,28 Days Later,2002,113.0,Drama,7.5,546162,https://www.imdb.com/title/tt0289043
tt1454029,The Help,The Help,2011,146.0,Drama,8.1,527918,https://www.imdb.com/title/tt1454029
tt1099212,Twilight,Twilight,2008,122.0,Drama,5.4,526020,https://www.imdb.com/title/tt1099212
tt0887912,The Hurt Locker,The Hurt Locker,2008,131.0,Drama,7.5,496236,https://www.imdb.com/title/tt0887912
tt1355644,Passengers,Passengers,2016,116.0,Drama,7.0,495659,https://www.imdb.com/title/tt1355644
tt8772262,Midsommar,Midsommar,2019,148.0,Drama,7.1,482582,https://www.imdb.com/title/tt8772262
tt3170832,Room,Room,2015,118.0,Drama,8.1,479725,https://www.imdb.com/title/tt3170832
tt5580390,The Shape of Water,The Shape of Water,2017,123.0,Drama,7.3,475523,https://www.imdb.com/title/tt5580390
tt0091763,Platoon,Platoon,1986,120.0,Drama,8.1,472302,https://www.imdb.com/title/tt0091763
tt0119174,The Game,The Game,1997,129.0,Drama,7.7,470092,https://www.imdb.com/title/tt0119174
tt0105695,Unforgiven,Unforgiven,1992,130.0,Drama,8.2,468469,https://www.imdb.com/title/tt0105695
tt0217869,Unbreakable,Unbreakable,2000,106.0,Drama,7.3,467365,https://www.imdb.com/title/tt0217869
tt7784604,Hereditary,Hereditary,2018,127.0,Drama,7.3,454249,https://www.imdb.com/title/tt7784604
tt1517451,A Star Is Born,A Star Is Born,2018,136.0,Drama,7.6,448533,https://www.imdb.com/title/tt1517451
tt0118971,The Devil's Advocate,The Devil's Advocate,1997,144.0,Drama,7.5,443966,https://www.imdb.com/title/tt0118971
tt0405094,The Lives of Others,Das Leben der Anderen,2006,137.0,Drama,8.4,442820,https://www.imdb.com/title/tt0405094
tt0361862,The Machinist,The Machinist,2004,101.0,Drama,7.6,441467,https://www.imdb.com/title/tt0361862
tt0120663,Eyes Wide Shut,Eyes Wide Shut,1999,159.0,Drama,7.5,428169,https://www.imdb.com/title/tt0120663
tt0166924,Mulholland Drive,Mulholland Dr.,2001,147.0,Drama,7.9,427778,https://www.imdb.com/title/tt0166924
tt2582846,The Fault in Our Stars,The Fault in Our Stars,2014,126.0,Drama,7.6,424197,https://www.imdb.com/title/tt2582846
tt17526714,The Substance,The Substance,2024,141.0,Drama,7.2,418216,https://www.imdb.com/title/tt17526714
tt0388795,Brokeback Mountain,Brokeback Mountain,2005,134.0,Drama,7.7,416575,https://www.imdb.com/title/tt0388795
tt0286106,Signs,Signs,2002,106.0,Drama,6.8,413841,https://www.imdb.com/title/tt0286106
tt2106476,The Hunt,Jagten,2012,115.0,Drama,8.3,408643,https://www.imdb.com/title/tt2106476
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,2007,116.0,Drama,7.3,406280,https://www.imdb.com/title/tt0408236
tt0443543,The Illusionist,The Illusionist,2006,110.0,Drama,7.5,404210,https://www.imdb.com/title/tt0443543
tt1907668,Flight,Flight,2012,138.0,Drama,7.3,396979,https://www.imdb.com/title/tt1907668
tt1182345,Moon,Moon,2009,97.0,Drama,7.8,394726,https://www.imdb.com/title/tt1182345
tt1371111,Cloud Atlas,Cloud Atlas,2012,172.0,Drama,7.3,386403,https://www.imdb.com/title/tt1371111
tt1179933,10 Cloverfield Lane,10 Cloverfield Lane,2016,103.0,Drama,7.2,383684,https://www.imdb.com/title/tt1179933
tt1065073,Boyhood,Boyhood,2014,165.0,Drama,7.9,381597,https://www.imdb.com/title/tt1065073
tt0110148,Interview with the Vampire: The Vampire Chronicles,Interview with the Vampire: The Vampire Chronicles,1994,123.0,Drama,7.5,376304,https://www.imdb.com/title/tt0110148
tt1403865,True Grit,True Grit,2010,110.0,Drama,7.6,376089,https://www.imdb.com/title/tt1403865
tt0414387,Pride & Prejudice,Pride & Prejudice,2005,129.0,Drama,7.8,376011,https://www.imdb.com/title/tt0414387
tt7653254,Marriage Story,Marriage Story,2019,137.0,Drama,7.9,371553,https://www.imdb.com/title/tt7653254
tt0105323,Scent of a Woman,Scent of a Woman,1992,156.0,Drama,8.0,371212,https://www.imdb.com/title/tt0105323
tt1707386,Les Misérables,Les Misérables,2012,158.0,Drama,7.5,361918,https://www.imdb.com/title/tt1707386
tt5726616,Call Me by Your Name,Call Me by Your Name,2017,132.0,Drama,7.8,358422,https://www.imdb.com/title/tt5726616
tt4034228,Manchester by the Sea,Manchester by the Sea,2016,137.0,Drama,7.8,356054,https://www.imdb.com/title/tt4034228
tt2322441,Fifty Shades of Grey,Fifty Shades of Grey,2015,125.0,Drama,4.2,355989,https://www.imdb.com/title/tt2322441
tt7349950,It: Chapter Two,It: Chapter Two,2019,169.0,Drama,6.5,354065,https://www.imdb.com/title/tt7349950
tt4975722,Moonlight,Moonlight,2016,111.0,Drama,7.4,351790,https://www.imdb.com/title/tt4975722
tt4263482,The Witch,The VVitch: A New-England Folktale,2015,92.0,Drama,7.0,351253,https://www.imdb.com/title/tt4263482
